Symbol,MCAP,PE,DIV,Name,Sector,Industry
CQP,last-price,current-price,change-percent,20.84,18.70,0.06,"Cheniere Energy Partners L.P","ENERGY & TRANSPORTATION","NATURAL GAS DISTRIBUTION"
CRH,last-price,current-price,change-percent,39.41,26.40,0.02,"CRH plc","MANUFACTURING","CEMENT, HYDRAULIC"
CSCO,last-price,current-price,change-percent,239.73,22.74,0.03,"Cisco Systems Inc","TECHNOLOGY","COMPUTER COMMUNICATIONS EQUIPMENT"
CTRA,last-price,current-price,change-percent,16.94,23.69,0.02,"COTERRA ENERGY INC","ENERGY & TRANSPORTATION","CRUDE PETROLEUM & NATURAL GAS"
CVS,last-price,current-price,change-percent,122.45,14.69,0.02,"CVS Health Corporation","TRADE & SERVICES","RETAIL-DRUG STORES AND PROPRIETARY STORES"
CVX,last-price,current-price,change-percent,223.61,22.50,0.05,"Chevron Corporation","ENERGY & TRANSPORTATION","PETROLEUM REFINING"
D,last-price,current-price,change-percent,60.80,23.67,0.03,"Dominion Energy Inc","ENERGY & TRANSPORTATION","ELECTRIC SERVICES"
DCUE,last-price,current-price,change-percent,60.25,31.53,0.03,"Dominion Energy Inc","ENERGY & TRANSPORTATION","ELECTRIC SERVICES"
DOW,last-price,current-price,change-percent,44.14,7.75,0.05,"Dow Inc","LIFE SCIENCES","PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
DTE,last-price,current-price,change-percent,21.92,15.61,0.04,"DTE Energy Company","ENERGY & TRANSPORTATION","ELECTRIC SERVICES"
DUK,last-price,current-price,change-percent,78.44,37.43,0.04,"Duke Energy Corporation","ENERGY & TRANSPORTATION","ELECTRIC & OTHER SERVICES COMBINED"
E,last-price,current-price,change-percent,52.93,29.93,0.02,"Eni S.p.A","ENERGY & TRANSPORTATION","CRUDE PETROLEUM & NATURAL GAS"
ED,last-price,current-price,change-percent,27.53,18.69,0.04,"Consolidated Edison Inc","ENERGY & TRANSPORTATION","ELECTRIC & OTHER SERVICES COMBINED"
EIX,last-price,current-price,change-percent,24.54,13.84,0.04,"Edison International","ENERGY & TRANSPORTATION","ELECTRIC SERVICES"
EMN,last-price,current-price,change-percent,15.10,16.99,0.02,"Eastman Chemical Company","LIFE SCIENCES","PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
EMR,last-price,current-price,change-percent,58.29,23.92,0.02,"Emerson Electric Co","MANUFACTURING","ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP)"
ENB,last-price,current-price,change-percent,85.69,18.92,0.08,"Enbridge Inc","ENERGY & TRANSPORTATION","PIPE LINES (NO NATURAL GAS)"
EPD,last-price,current-price,change-percent,49.60,11.50,0.08,"Enterprise Products Partners L.P","ENERGY & TRANSPORTATION","NATURAL GAS TRANSMISSION"
EQNR,last-price,current-price,change-percent,87.29,30.74,0.02,"Equinor ASA","ENERGY & TRANSPORTATION","PETROLEUM REFINING"
EQR,last-price,current-price,change-percent,32.11,30.33,0.03,"Equity Residential","REAL ESTATE & CONSTRUCTION","REAL ESTATE INVESTMENT TRUSTS"
ES,last-price,current-price,change-percent,28.79,23.69,0.03,"Eversource Energy","ENERGY & TRANSPORTATION","ELECTRIC SERVICES"
ESS,last-price,current-price,change-percent,22.24,49.73,0.02,"Essex Property Trust Inc","REAL ESTATE & CONSTRUCTION","REAL ESTATE INVESTMENT TRUSTS"
ET,last-price,current-price,change-percent,24.66,5.08,0.07,"Energy Transfer LP","ENERGY & TRANSPORTATION","NATURAL GAS TRANSMISSION"
ETR,last-price,current-price,change-percent,20.56,14.42,0.04,"Entergy Corporation","ENERGY & TRANSPORTATION","ELECTRIC SERVICES"
EVRG,last-price,current-price,change-percent,14.79,16.81,0.03,"Evergy Inc","ENERGY & TRANSPORTATION","ELECTRIC & OTHER SERVICES COMBINED"
EXC,last-price,current-price,change-percent,53.27,31.84,0.03,"Exelon Corporation","ENERGY & TRANSPORTATION","ELECTRIC & OTHER SERVICES COMBINED"
EXR,last-price,current-price,change-percent,26.35,36.55,0.02,"Extra Space Storage Inc","REAL ESTATE & CONSTRUCTION","REAL ESTATE INVESTMENT TRUSTS"
FE,last-price,current-price,change-percent,21.21,14.83,0.04,"FirstEnergy Corp","ENERGY & TRANSPORTATION","ELECTRIC SERVICES"
FITBI,last-price,current-price,change-percent,19.80,7.82,0.04,"Fifth Third Bancorp","FINANCE","STATE COMMERCIAL BANKS"
FMS,last-price,current-price,change-percent,17.09,13.01,0.04,"Fresenius Medical Care AG & Co. KGaA","LIFE SCIENCES","SERVICES-MISC HEALTH & ALLIED SERVICES, NEC"
FNF,last-price,current-price,change-percent,14.43,9.99,0.03,"Fidelity National Financial Inc","FINANCE","TITLE INSURANCE"
FTS,last-price,current-price,change-percent,21.56,21.58,0.04,"Fortis Inc","TECHNOLOGY","GENERAL"
GD,last-price,current-price,change-percent,56.65,18.44,0.02,"General Dynamics Corporation","MANUFACTURING","SHIP & BOAT BUILDING & REPAIRING"
GILD,last-price,current-price,change-percent,84.58,11.54,0.04,"Gilead Sciences Inc","LIFE SCIENCES","BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)"
GIS,last-price,current-price,change-percent,38.26,16.21,0.03,"General Mills Inc","MANUFACTURING","GRAIN MILL PRODUCTS"
GLPI,last-price,current-price,change-percent,11.54,19.33,0.05,"Gaming and Leisure Properties Inc","REAL ESTATE & CONSTRUCTION","REAL ESTATE INVESTMENT TRUSTS"
GPC,last-price,current-price,change-percent,19.19,47.80,0.02,"Genuine Parts Company","TRADE & SERVICES","WHOLESALE-MOTOR VEHICLE SUPPLIES & NEW PARTS"
GRFS,last-price,current-price,change-percent,12.11,21.44,0.03,"Grifols S.A","LIFE SCIENCES","PHARMACEUTICAL PREPARATIONS"
HAS,last-price,current-price,change-percent,13.55,29.96,0.03,"Hasbro Inc","MANUFACTURING","GAMES, TOYS & CHILDREN'S VEHICLES (NO DOLLS & BICYCLES)"
HMC,last-price,current-price,change-percent,49.79,6.31,0.03,"Honda Motor Co. Ltd","MANUFACTURING","MOTOR VEHICLES & PASSENGER CAR BODIES"
HPE,last-price,current-price,change-percent,20.56,22.01,0.03,"Hewlett Packard Enterprise Company","TRADE & SERVICES","WHOLESALE-COMPUTERS & PERIPHERAL EQUIPMENT & SOFTWARE"
HPQ,last-price,current-price,change-percent,36.81,9.93,0.02,"HP Inc","TECHNOLOGY","COMPUTER & OFFICE EQUIPMENT"
HRL,last-price,current-price,change-percent,23.60,26.18,0.02,"Hormel Foods Corporation","MANUFACTURING","MEAT PACKING PLANTS"
IBM,last-price,current-price,change-percent,111.69,10.32,0.05,"International Business Machines Corporation","TECHNOLOGY","COMPUTER & OFFICE EQUIPMENT"
IFF,last-price,current-price,change-percent,38.98,35.21,0.02,"International Flavors & Fragrances Inc","LIFE SCIENCES","INDUSTRIAL ORGANIC CHEMICALS"
IMO,last-price,current-price,change-percent,23.80,55.43,0.03,"Imperial Oil Limited","ENERGY & TRANSPORTATION","PETROLEUM REFINING"
ING,last-price,current-price,change-percent,58.99,11.20,0.03,"ING Groep N.V","FINANCE","COMMERCIAL BANKS, NEC"
INTC,last-price,current-price,change-percent,208.23,9.84,0.03,"Intel Corporation","MANUFACTURING","SEMICONDUCTORS & RELATED DEVICES"
IP,last-price,current-price,change-percent,19.32,10.98,0.04,"International Paper Company","MANUFACTURING","PAPER MILLS"
